"num";"repro_nostopwords"
11;"Two people sent  email scam  users  Spain asking  money. They  caught."
12;"A lot  cars   vandalized   set  fire. Police searched   culprit. One clue  found   sweater  culprit  wearing. They  able  catch ."
13;"A shipment  illegal birds  found. A week later,  found  smugglers   ."
14;"A professor  suspected  sexual harassment. It   reported  many   graduate students   peers. If found guilty,    asked  leave  position."
15;"Two boys smashed  beekeepers bee hive. About half  million bees died. Since   minors    taken  juvenile court."
16;"Since mid-April 2018,  region  Bulgaria, Germany  experienced acts  vandalism perpetrated  one   people. The perpetrators  set  car, trashcans,  even  town house  fire. At  peak,   8 acts  arson  one night. The total cost   damages  around $450,000. However,  police offered  reward  $6000  every tip,    able  find  perpetrator(s). Recently,  crumpled black shirt  one   scenes   distinct pattern   help identify  perpetrator. About  week ago, police arrested ,  based    evidence,    little doubt    guilty."
17;"In late December  2017,  couple  Iowa  checking   50 beehives   discovered  tragic scene. The beehives   destroyed   tools   shed thrown everywhere, causing  $60,000 worth  damages. Three weeks later, police arrested two boys (12  13 years old) , allegedly, committing  crime. The boys  charged  three different things. Since   still minors,   tried  juvenile court  face   10 years  prison   $10,000 fine. However, police say   allegations   boys may   enough  determine    guilty."
18;"On August 20, 2018, 30,000 internet users  Spain received  email   subject line  said ""immediate response required - copyright infringement."" The email said   recipients  guilty  illegally distributing pornography,  demanded   pay  fine  $11,500. When  email address   message came   searched,  belongs   reputable law firm. However, shortly   messages  sent,  law firm disowned   said     hoax. But,  7%  recipients  already payed  money, resulting   $17 million   scammers. Four weeks later, police discovered  internet cafe    emails  sent  arrested two people,  man   women ( 52) based  security camera footage. If guilty,  face   9 years  prison. However, recent news coverage shows   video footage  poor quality,  may   sufficient  determine   two suspects  responsible."
19;"A professor   Neuroscience department  Corsen University   arrested  sexual harassment. 11 women,  former graduate students,  come forward  allegations  Prof. Jim Smith. He faces charges  making inappropriate comments  women's appearances, making students come   private home  meetings,  hosting several hot-tub parties  included nudity      student  present. Smith  also known    several quid pro quo relationships     students. He   suspended indefinitely  may even  fired,  rarity  professors  tenure. Over 100 people  know   testified   character."
20;"Thanks   routine cargo check, Indonesian police  able  prevent  recent smuggling attempt. They discovered 150 exotic birds stuffed   pipe sealed  wire   end. The shipment   estimated total worth  $250,000. Four men  arrested  purportedly committing  crime. If found guilty,  face   7 years  prison   $8,000 fine. However,    men appear    alibi,    unlikely   committed  crime."
21;"During  routine check, exotic birds  found   cargo vessel   smuggled   US. Police suspect    wildlife trafficking ring. There  four suspects  since    anonymous tip  led   discovery   four suspects  alibis,    unlikely    involved."
22;"A couple  Iowa discovered  many   beehives  destroyed. The suspects  two minors. Because   minors,  may face less severe charges. Police  asked   public  jump  conclusions."
23;"Some Internet users  Spain got notified saying   breaking  law  distributing pornographic content  demanded payment. This   scam  police tracked  two individuals   internet cafe. There  footage   reliable."
24;"Since mid-April  series  fires   occurring  Bavaria, Germany. There    lot  property damage estimating  $450,000. The peak   8 fires  set   one night. Police offered  $6000 reward  every helpful tip. A black shirt   unique design  found  one   sites. There   suspect  experts say    definitively ."
25;"A professor  suspected  sexual harassment. It   reported  graduate students   peers. If found guilty,    asked  leave  position."
26;"Jim Smith,  professor  Neuroscience  Corsen University   charged  sexual harrassment. 11 women,  former graduate students,  come forward  allegations  . These allegations include forced meetings  private homes, comments  female appearance,  hot tub parties  contain nudity. An investigation  based   testimony  100 colleges  acquaintances  relies   history  inappropriate relationships  students. If found guilt, Prof Smith   suspended indefinitely  perhaps fired."
27;"In December 2017, 50 beehives  destroyed resulting  damages  $60,000. The beehives  hacked apart  thrown   shed resulting   death  nearly 1/2  million bees. The suspects,  12  13 year old,   charged   face   10 months  juvie  fines  $10,000. Investigators remind    enough evidence yet  assume  boys guilty."
28;"In Ausust 2018, 30,00 emails  sent  subject line ""Copyright Infringement""  accused  readers  distributing illegal material  demanding $11,700 fine. An internet search   lawfirm seems credible,  three weeks later  law firm says   hoax. But nearly $17 million dollars  already  paid."
29;"Thanks   routine cargo check, Indonesian authorities  able  stop  smuggling attempt. They found 150 exotic birds stuffed  drain pipes   sealed   end  wire. The smuggling  likely attempted   animal trafficking ring    sold   US  pets   profit  $250,000. Nearly  week later, four men  arrested  suspects --  facing 5 years  prison  fines  $8000."
30;"In mid April, 2018, Bavaria, Germany suffered arson attempts  damages  $450,000. No clues  sent    offered  reward  $6000. A black tshirt   unique pattern may    critical clue,   37 year old man  now  charged  arson. Detectives believe    guilty."
31;"A professor   Neuroscience department  Corsen University   suspended indefinitely    fired–– rarity  professors  tenure––based  charges  harassment. 11 women,  former graduate students,  come forward  accuse Prof. Jim Smith  misconduct. Smith  said   made inappropriate comments  women's appearances, invited students   private home  meetings,  hosted several hot-tub parties,  involved nudity    students  present. He  also accused    quid-pro-quo relationships  many students. Over 100 people  testify  Smith's character."
32;"Thanks   routine cargo check, Indonesian police  stopped  attempt  smuggling 150 exotic birds   country. The birds  stuffed   pipe sealed  wire   end,   shipment 've  worth  $250,000. The four men currently charged   smuggling attempt face 7 years  prison   $8,000 fine. However,  man   alibi,    unlikely    anything     purported smuggling attempt."
33;"On August 30, 2018, 30,000 internet users  Spain received  email   subject line ""Copyright infringement––immediate response required."" The email accused users   illegally distributed pornographic content,  instructed   pay $11,500   end  September  avoid  lawsuit. Searching   email address online leads   website   real law firm  Barcelona. However,  law firm  come forward  identified  emails   hoax. According  police, 5%   email's recipients  already paid  fine,  amounts   $17 million  gone   scammers. Police  able  trace  original location    spam email  sent,  found   came   internet cafe. Footage places two people, one man  one woman,   scene. If caught,  scammers face 9 years  prison. Furthermore,    reported   footage   cafe  extremely high quality,    quite likely  serve   unquestionable evidence   charged."
34;"Since mid-April 2018,  region  Bulgaria, Germany  faced several acts  vandalism   part  one   perpetrators. Those responsible   crimes  set  car, trashcans,  even  townhouse  fire. At  peak   incidents,   8 counts  arson  one night. Damages   point amount  $450,000,   police began offering  $6,000 reward  reliable tips,   unable  catch  criminal. Recently,  crumpled black shirt   distinctive pattern found  one crime scene  led police  arrest  alleged perpetrator. At  point   overwhelming evidence  ,     likely   suspect  custody  guilty."
35;"A couple  Iowa discovered  many   beehives  destroyed. The suspects  two minors;    minors,  may face less severe charges. The police  asked   public  jump  conclusions."
36;"There   series  8 fires  Bavaria, Germany. Black shirts  found  every site   fire. The  amount  damage  $6k."
37;"Indonesian Police found  $250k worth  exotic birds   stolen  traded   black market. There  4 men   arrested   go  jail   jury found  guilty."
38;"Prof Jim Smith  tons  sexual harassment allegations  . Some   allegations include hot tube  nudity related parties    house."
39;"In Dec 2017, $60k  damages  committed  two boys ages 12  13  hacked beehives open. This destroyed  livelihood   owners. They're still minors   face time   Juvie court."
40;"In August 2018  man   woman   50s  found   cafe scamming people   email subject headline  drew people . Turns    distributing pornographic material. They  go  jail   long time,   unlikely   cameras  caught    cafe  bad."
41;"A professor   accused  sexual misconduct. He  performed sexual favors. An external firm  conducting  investigation,   found guilty,  professor   suspended  even fired,   rare   tenured professor. However,  testimony  100 students,     based , may    strong  previously thought."
42;"On August 20, 2018, 30,000 people  Spain received  email whose subject  ""immediate response required - copyright infringement."" The email said    guilty  illegally distributing pornographic material    pay  fine  $11,500. The email    reputable law firm,   law firm dismissed    hoax. However, 7%   users  already paid  fine, resulting  $17 million   scammers. The police investigated  arrested two people,  man   woman ( aged 52),  security footage. If guilty,  face   9 years  prison. However,  security footage    accurate   originally thought."
43;"In Germany,  lot  fires  set, lighting   car  even  town house. In one night,  many  8 fires   lit. Although  one  hurt,  material damage equated   $450,000. The police  trouble finding  perpetrator   offered  reward  $6000   helpful tip. A crumpled  black shirt  one   crime scenes   unique design    probably   helpful hint. The police finally arrested  37 year old suspect,   found guilty,   face   10 years  prison  second-degree arson. However, according  recent reports, investigators think  evidence may  point  strongly  ."
44;"Two boys smashed  beekeepers bee hive. About half  million bees died. Since   minors,    taken  juvenile court."
45;"Indonesian police  stopped  attempted smuggling  exotic birds   country. The birds  stuffed   pipe  wire taped   ends. The shipment    worth $250,000 dollars. The four men accused   smuggling face   7 years  prison   $8,000 fine. However,  guy   alibi    unlikely    anything     smuggling."
46;"There   arson crime    hard  identify  suspect  police offered significant reward.  Middle aged man  caught  may face 10 years  prison  found guilty"
47;"Beehives destroyed.  Two minors may  responsible    investigated.  Public told   assume."
48;"Hacking caused people  pay scammers  avoid  fined.  Two middle aged people  identified.  Although  conclusive evidence   due  blurriness."
49;"Exotic birds  caught  smuggled .  Men may face close   decade  prison.  However,  suspects unlikely guilty since   alibis."
50;"Professor  likely  lose tenure  get charged  harassment.  \n11 women  come forward  testify  sexually inappropriate behavior  harassment."
51;"Police  able  discover  flock  exotic birds    transported illegally.  After investigation  police  able  identify  ring   responsible   crime.  With  help  eyewitness accounts  inconsistencies   ring members' testimonies,   likely   ring member   found guilty."
52;"In mid April, 2018, Bavaria, Germany suffered arson attempts  $450,000  damage.  No clues  offered   $6000 reward  posted.  A black t-shirt   unique pattern may    important clue  now  37 year old man   held   suspect.  Police believe   find  guilty."
53;"Some internet users  Spain got notified    breaking  law  distributing pornographic content  money  demanded  . This   scam  police tracked  two individuals   internet cafe.  There  footage   reliable."
54;"Jim Smith,  professor  Neuroscience  Corsen University,   tried  sexual harassment.  11 women,  former graduate students,  come forward  allegations.  These allegations vary  private meetings  home  house parties  nudity  comments  female appearance.  100 colleges  offer evidence   case.  If found guilty, Smith risks losing  job   things."
55;"In Dec 2017, $60K  damages  committed  two boys ages 12  13  hacked beehives open.  This destroyed  owners' livelihood. They  still minors      tried  Juvie court."
56;"In  region  Bulgaria, Germany since mid April 2018, several perpetrators  committed several acts  vandalism. They  done  things  burn cars, trash cans, etc. At  peak   crimes,    8 arsons   single night. In total  crimes  amounted    $450 thousand  damages. Police   unable  get    perpetrators   began offering  $6,000 reward. Soon ,  distinctive crumpled black shirt  found  one   crime scenes,   point  police  able  pinpoint  perpetrator. The evidence stacked   individual indicates     likely guilty."
57;"11 women  come forward  report sexually inappropriate behavior  harassment   professor. As  result,  professor  likely  lose tenure   likely  charged  harassment."
58;"In late December 2017,  couple  Iowa woke   finding  agricultural bee farm   attacked. Nearly half   bees  upwards  $60,000  property damage  caused   destruction. The police  caught  suspects (two boys  age 12  13). They  charged  burglary, attacking  agricultural animal farm,  . They   charged  juvenile court. If convicted,   face   10 years  prison  $10,000  fines. The evidence suggests    guilty."
59;"Indonesian police prevented  animal smuggling   routine cargo check. They discovered 150 exotic birds stuffed  pipes closed   wires. They  going   smuggled   US   sold  pets. If successful,  birds    sold  $150,000. Thanks   anonymous tip,  4 individuals   identified  suspects   smuggling. They face  potential 5 years  prison  $8,000  charges . However,  4 gentleman  plausible alibis    enough evidence stacked  . Thus,   seem likely   committed  smuggling   point  time."
60;"On August 30, 2018, emails  sent  people  Spain titled ""Immediate response - copyright infringement"". The email requested   individuals pay $11,500  clear  name  illegal possession  pornography. The email seemed    sent    legitimate law firm  Barcelona. However, The law firm  publicly stated   emails  indeed  hoax. Nearly 5%  individuals  received  email sent   money, totaling $17 million. Nearly 4 weeks later, police pinpointed  cafe   emails  sent . Soon ,  using security footage   cafe,  individuals  sent  emails  found. Particularly,    man  woman ( couple). They face charges  consequences    9 years  prison."
61;"4 men arrested   illegal sale  exotic birds (value  $250k)  Indonesian police."
62;"A couple  Spain arrested  sending  hoax emails   law firm  people, accusing    illegal possession  pornography. 5% paid, totaling 17 million dollars."
63;"A tenure professor  accused  sexual misconduct    investigated   outside law firm. If found guilty,    arrested  discharged  testimony  100 students might   strong enough evidence."
64;"Two boys arrested   destruction   couple's beehive   equipments, killing half  million bees causing great monetary damage. However, even though   still minors,   facing charges    ten years  imprisonment  thousands  dollars  fine  found guilty."
65;"Series  eight fires  Germany,  site left   black shirt. The greatest fire damage  $6k."
66;"The Indonesian police  able  stop  smuggling attempt   found exotic birds stuffed   plastic drain pipe   ends   pipe closed. They think    result   trafficking business. A week later  police arrested four suspects,     serve 4-5 years  prison   $8000 fine  found guilty. However,  case rests   anonymous tip; therefore   highly unlikely       concluded  guilty."
67;"A couple  Spain  arrested  sending  hoax emails   law firm  people. They  accused    possession  illegal pornography  gaining  illegal profit."
68;"A professor  suspected  sexual harassment    reported  graduate students. If   found guilty,     leave  position."
69;"In 2018,  region  Bavaria, Germany faced  series  arson crimes. People started fires  igniting trash cans,  even  town house. At  peak,   8 fires started  one night. Although nobody  hurt,  material damages summed    $145,000. The police   able  get  leads   offered $6000   helpful tip   received. A crumpled  black shirt   unique logo   may     helpful clue. They later arrested  37 year old man  charges  second-degree arson, however experts say    enough evidence  convict ."
70;"In late December 2017,  couple  Iowa went  check   beehives   surprised  see   hives  overturned   equipment  ransacked. A 12 year old   13 year old  arrested   found guilty,     serve 10 years  jail. They seem   guilty."
71;"Two minors smashed  bee hive, killing half  million bees. They   taken  juvenile court."
72;"Many cars   set  fire; police  able  catch  culprit   arsons   appearance   sweater."
73;"Indonesian police found 150 wildlife  found squeezed  plastic tubes   middle   smuggled   U.S. Altogether   valued  250,000 USD. Officials suspect  wildlife trafficking ring  involved. Four suspects  arrested,   solid alibis cast doubt  whether   guilty."
74;"30,000 internet users  Spain received  scam email warning charges  distributing pornographic content    send $11,500 within  month. Already $17 mil   collected  5%   recipients. The email address  linked   law firm  Barcelona,  denied   sent  email. The scammers ( 52))  caught  video footage   internet cafe."
75;"Professor Jim Smith faces several sexual harassment allegations,  include hot tube  nudity related events   house."
76;"In Spain,   internet users  received notifications   source    breaking  law  distributing pornographic material. The source demanded money   turned     scam. Police tracked  scammers   internet cafe   reliable footage  evidence."
77;"A professor named Jim Smith  facing sexual misconduct claims, including hot tube  nudity   house."
78;"In December  2017,  couple checked    collection  beehives  find     destroyed. About  half million bees died  $60,000  damage accrued. Three weeks later, police arrested two teenagers(12  13 years old)   damage. They face juvenile detention    10 years  prison  convicted. The police    rush  determine guilt   now."
79;"Halfway   US, Indonesian police discovered 150 wildlife packed  plastic tubes   estimated   valued  250,000 USD. They suspected  wildlife trafficking ring  subsequently arrested four individuals, however,  reliable alibis cast doubt."
80;"In Germany, someone  lighting fires around  town including cars  homes. One night, 8 fires  lit. No one  injured   material damage  valued  $450,000. The police offered $6,000   individual  presented  helpful tip  finding  perpetrator. A shirt found  one   crime scenes led   arrest   37 year old suspect, however,  police still  doubts  ."
81;"Five men  accused  smuggling birds; however,     guilty    alibis."
82;"Prof. Jim Smith  accused  11 former female graduate students  sexual harassment. Claims :  commented  women's appearances, hosted hot tub parties  nudity, invited female graduate students   private home  meet,   may   sexual relations     female graduate students. 100   colleagues  former students   interviewed  see   allegations  true. If   true, Prof. Smith,  tenured professor,  lose  job,   rare  someone  tenure. These 100 interviews  shine  light   truth   accusations."
83;"In late December  2017,  couple discovered  30 beehives destroyed   shed ransacked,  caused  $60,000 worth  damages. Weeks later,  12 year old boy   13 year old boy  allegedly found  fault   crime. Because   minors,     jail   year    pay  $10,000 fine; however,  allegation   enough  prove   guilty."
84;"In mid April 2018,  town  Germany suffered many arsons,  totaled   $450,000 worth  damages. The police   offer  $6000 reward  information   public. A crumpled  black t-shirt became  key piece  evidence. Eventually,  37 year old man  arrested. He may face   8 years  prison; however,    sufficient evidence  find  guilty   arsons."
85;"A couple  Spain  arrested  sending illegal emails   law firm. They  found guilty."
86;"In Spain, internet users received notifications    breaking  law  distributing pornographic material. These notifications turned     scam  money. Police  located  scammers   internet cafe   reliable footage  evidence."
87;"A tenure professor   accused  sexual misconduct  investigated   outside law firm. If guilty,    discharged  let go,    unclear  100 students' testimonies   enough."
88;"In Dec 2017, $60k  damage  inflicted   12   13-year-old  hacked open beehives. They destroyed  owner's livelihood. They  still minors     tried  Juvie court."
89;"There   series  multiple arsons  Bavaria, Germany. Police  offering  monetary reward  citizens  can help track   arsonists. A specific shirt design  identified  used  track   suspect, whose guiltiness  indubitable."
90;"Police  able  find  flock  exotic birds  transported illegally. The police  found   ring   members  likely suspects. After several eye-witness accounts  inconsistencies within  testimonies  ring members,    likely   ring leader   found guilty."
91;"In  American-bound Indonesian boat, smugglers stuffed 150 exotic birds   sold   estimated $150,000. The bids hidden inside inside pipes closed   wires. Thanks   anonymous tip, authorities uncovered  attempt. Four suspects  identified,  none  convicted  account  plausible alibis."
92;"Graduate student reported sexual assault   professor. If  professor  convicted,   lose  job."
93;"In August  2018, 30,00 emails  apparently sent   web-searchable law firm, indicating recipients  infringed  copyright. They demanded $11,800  fines. However, three weeks later,  law firm came  identifying  emails    hoax. Almost $17 million  already  paid."
94;"Since mid-April  2018,  vandal pyromaniac   loose  German region  Bavaria. These fires igniting cars, houses,    amounted   least $450,000  damages. Initially,    leads  finding  criminal. However,  offered $6000   pieces  evidences relating   case,  crumpled black T-shirt  found  one   scenes   crime bearing  unique insignia. Using  lead,  police  able  identify  suspect, compiling enough evidence  convict    crimes without  reasonable doubt."
95;"In late December 2017,  couple found  beehive  destroyed. However,  12 year old   13 year old  arrested,     found guilty,   serve 10 years  prison."
96;"In December 2017,  couple checked   beehives  find   half  million  bees   destroyed    lost $60,000  property damage. The police suspected two teenagers (12  13 years old)   face   10 years  prison    convicted. However, law enforcement     rush  determine guilt."
97;"In  America-bound Indonesian boat, 150 exotic birds  going   smuggled. They  hidden  pipes wrapped  wires. Four suspects  found   convicted   plausible alibis."
98;"30,000 internet users  Spain  sent  scam email threatening  distribution  pornographic content     send $11,500 within  month. Seventeen million dollars  already  collected  5%   email's recipients. The perpetrators ( 52)  caught  video footage   internet café."
99;"A professor named Jim Smith  facing sexual misconduct charges, including hot tube  nudity   house."
100;"In Germany, someone lit fires around  town  homes  cars. One night, 8 fires  lit. No one  hurt   property damage  around $450,000. The police offered  $6000 reward  anyone   give   tip leading   arrest. A shirt  found  led   arrest  37 year old man,   police  doubts  ."
101;"A professor called Smith   accussed  sexual harrassment  many people. The allegations include patterns  predatory behaviour  Smith's behalf, including forcing private meetings  hot tub parties  students,  well  quid pro quo sexual relations  grad students. If Smith  found guilty   charges   may  suspended  even fired,   rare   tenured professor."
102;"A 12 year old boy  13 year old boy  suspects  damaging  bee hive. The damages cost $60,000   beehive  hacked apart  thrown   shed. If  boys  found guilty,  may   pay  fine   $10,000  serve time  juvie."
103;"A region  Bavaria, Germany   location  several arson related crimes,  fires  trash cans  houses.  The damages  $145,000. The police   able  find  leads  offering $6000   tip. The  helpful lead  found   crumpled black t shirt,  led   arrest   37 year old man, although    enough evidence   arrest."
104;"An animal trafficking ring  stopped  Indonesia   routine cargo check. They found exotic birds stuffed  drain pipes. These birds    sold   US  profits   $250,000. If  smugglers  found guilty,     serve time  pay fines   $8000 ."
105;"In Spain, 30 million people   send emails threatening distribution  pornographic content     pay $11,000. These emails  send   location  footage. The senders  already collected 17 million dollars  5%   recipients."
106;"Two boys destroyed  beehive  damages costs    60k. They  face fines    10k  time  juvie."
107;"Someone committed arson. After  reward  put   information   criminal,  old man  identified   face jail time  ."
108;"A man   woman used  alias   law firm  email many people  collect  fine    distributing pornographic material. Around 7%   people ended  paying  fine,   man  woman  ultimately caught."
109;"A professor  facing sexual misconduct charges including hot tube  nudity   house."
110;"An animal trafficker  stopped  indonesia carrying  expensive birds. They    pay fines    1000  convicted."
111;"One day,  couple  30 behives found  shed ransacked   beehives destroyed  resulted   60k  damage. A boy   girl    minors  sentenced  10k  fines    year  jail, since   minors."
112;"A neuroscience professor  Corsen University allegedly   involved  numerous sexual assault crimes. He committed acts   commenting  women's bodies  nude hot-tub parties. Many women  come forward  testify   independent law firm  hired  investigate. However,   found   facts  ambiguous  may  confirm  allegations."
113;"In Germany, arsons costing 450k pillaged  country. A $6000 reward  offered  information,   black t-shirt led police   man    sentenced    8 years  prison, although police may   adequate evidence  convict ."
114;"Police found birds stuffed  drain pipes  due   anonymous tip,  arrested 4 people  suspicion  trafficking. There  $4500 involved, however due   anonymous tip  lack  evidence,  may   convicted."
115;"A scam occurred   2 people sent  email   real Barcelona law firm address, asking recipients  pay $11500  wrongfully distributing pornographic content. 5%  recipients paid, amounting  $17 million   scammers. Police traced  email   Internet cafe,  2 people  caught  high-quality camera committing  scam. If police  able  find  identify  people,   ample evidence  charge    crime ( put   jail  9 years)."
116;"A professor  tenure  accused  sexual assault   100   students. It's unclear     enough  convict ."
117;"A mythical army  arsons pillaged Germany  caused  $450k  damage. 6000 dollars  offered  capture  culprit, one    believed    self-aware black t-shirt."
118;"In Spain, 30 million people  sent malicious emails   hacker group. The hackers threatened  fill  receivers computers  pornography   ransom  $11,000   paid. The hackers  already received 17 million dollars,  just 5%   victims."
119;"Two boys  recently arrested   destruction   neighbor's beehive. They killed  half   bees. Although  boys  minors,  face   ten years  prison,  thousands  dollars  fines -    convicted."
120;"Police found  flock  exotic birds  transported illegally. Although  police suspects  specific criminal ring  committing  crime,   serious inconsistencies   stories  eye witnesses  ring members -  much    ring leader   likely   caught."
121;"In Bavaria,    series  crimes  included burning trash cans  robbery. The damages went   $145,000. The police  find  leads   offered rewards  $6000   tip. The  useful tip  police found   black t-shirt  lead   arrest   37 year old man, although   enough evidence   arrest."
122;"Exotic birds  found   cargo vessel. It  suspected   came  wildfire trafficking. There   anonymous tip  lead   suspicion  4 individuals,  since  tip  anonymous   suspects  alibis,   unlikely   suspects  involved."
123;"Two boys damaged  beehive,  damages amounting   60k. The boys face fines  10k  possibly juvie time."
124;"Professor Smith  accused  11   female graduates  sexual harassment. The claims include making inappropriate comments, organizing meetings  hot tubs  even  sexual relations     students. 100   colleagues   interviewed  see   allegations  true. If  , Smith   fired –    rare   professor like ,    tenure,   fired."
125;"In Spain, $30,000 people received  scam email, demanding   pay  fee  $11,000   illegally distributed pornographic content. The email address seemed legitimate,     hoax. 5%   people affected paid  money,  amounts  $17 million dollars   scammers. The police tracked   internet cafe  looked   camera footage. A man   woman   50s  suspects. However, since  footage   bad quality,   perhaps unreliable."
126;"Some birds  found stuffed   drain  police  arrested four suspects. Damages  $4500    enough  indict."
127;"A mythological army invaded Germany causing extensive damage  one   culprits   black shirt."
128;"Professor smith  serious sexual harassment allegations  . He    hot tubs  younger students  partaken  lude activities  grad students. Should   convicted     rarity   tenured professor."
129;"Hacking made people bay fake fines,  two middle aged men   identified  possible culprits."
130;"Two minors  suspected  destroying  beehive,    just  assumption."
131;"The police found   truck  smuggling animals   intended   sold   US  pets. The birds  estimated   worth around $10000. Four people  arrested can  sentenced   8 years  prison."
132;"Professor Smith   accused  sexual harassment  11   female students. He   accused  making sexual comments  organizing meetings  hot tubs. He may  fired."
133;"An old man  identified    suspect  committing arson  can  put  jail  ."
134;"In December,  couple discovered  beehives   destroyed. The police  identified two suspects    charged  burglary  destruction  property. They  minors  therefore can  charged   $10000."
135;"In Spain, 30 million people received emails  hackers  threatened  flood  computers  pornography unless  sum  $11,000  paid. The hackers  earned  lot  money already despite  5%  people sending money."
136;"A woman  charged  professor  sexual harassment. The professor   likely lose tenure."
137;"Halfway   US, Indonesian police found 150 wildlife stuffed   estimate 250000 USD worth  containers. It  suspected    trafficking ring. 4 people  arrested   may    culprits due  reliable alibis."
138;"In August 2015,  man  woman sent  link  draw  people. They  sending porn   coffee shop. They may  acquitted though   cameras  caught   bad."
139;"In Barvaria,     spree  crimes including destroying property  arson. Such crimes   incredibly costly   leads  found     reward. The  lead    man  wearing  black shirt. A 37 year old  suspected   info given  insufficient  justify arrest. \n"
140;"Two boys  arrested  killing  beehive. They killed half   bees. The boys  face significant prison time."
141;"Four people  arrested  smuggling  truck full  birds, intended   sold  pets  $10000   US. They face   8 years  prison."
142;"Two people sent  scam email   valid Barcelona law firm's email address, demanding $115,000  distribution  pornographic material. 5%  people paid, sending  scammers  total  17 million dollars. The email  traced   people  caught  high definition tape. If   caught  face 9 years  jail.\n"
143;"A 12  13 year old suspected  destruction   beehive  arrested. If found guilty,  face 10 years  jail."
144;"Prof. Jim Smith  Corsen University   accused  sexual assault  11 different women. He allegedly  quid pro quo relationships  several graduate students  hosted hot tub parties  nudity  invovled  students  present. If found guilty    suspended  even fired,  rarity  tenured professors. Based  character surveys  appears   may  grounds   accusations."
145;"A 37 year old  suspected  arson  Bavaria."
146;"A man   last name Smith   professor  Neuroscience   university  11 females  come forward  stories  sexual assault. There stories vary  private meetings  stories  parties."
147;"In August 2015  man   woman sent  link  people  draw  . They  setting   link  porn,  may  get  trouble   cameras   using  bad."
148;"Two boys damaged  beehive  damages   60k. The boys  facing charges  10k  possible juvie time."
149;"Some birds  found stuffed   drain  police brought   suspects. They report costs   $4500 dollars     evidence."
150;"Many cars   set  fire police   able  arrest someone based   sweater."
151;"A neuroscience professor   subject  controversy  many women  come     allegations  sexual assault. Even though  women  said  commented   bodies,  independent law firm  concluded   claims   ambiguous"
152;"A nest  birds  found   drain  police brought   suspects. Costs  thousands  dollars"
153;"One day  couple's shed  destroyed  housed  60 beehives, resulting  thousands  dollars  damages. A boy  girl  convicted  given  fine  $1000,   given leniency since   minors"
